CMDLINE python app.py
MEM 0.203125 1756915621.7124
MEM 29.062500 1756915621.8176
MEM 39.578125 1756915621.9227
MEM 60.765625 1756915622.0246
MEM 65.296875 1756915622.1270
MEM 101.484375 1756915622.2294
MEM 95.718750 1756915622.3345
MEM 95.359375 1756915622.4396
MEM 85.484375 1756915622.5413
MEM 74.281250 1756915622.6432
MEM 74.281250 1756915622.7475
MEM 74.281250 1756915622.8527
MEM 74.281250 1756915622.9578
MEM 74.281250 1756915623.0598
MEM 74.281250 1756915623.1649
MEM 74.937500 1756915623.2701
MEM 74.937500 1756915623.3755
MEM 74.937500 1756915623.4795
MEM 74.937500 1756915623.5840
MEM 74.796875 1756915623.6850
MEM 74.796875 1756915623.7902
MEM 74.796875 1756915623.8954
MEM 74.796875 1756915623.9995
MEM 74.796875 1756915624.1047
MEM 74.796875 1756915624.2100
MEM 74.796875 1756915624.3109
MEM 74.796875 1756915624.4164
MEM 74.796875 1756915624.5217
MEM 74.796875 1756915624.6270
MEM 74.531250 1756915624.7322
MEM 63.609375 1756915624.8374
MEM 63.609375 1756915624.9428
MEM 63.609375 1756915625.0478
MEM 36.265625 1756915625.1541
MEM 13.390625 1756915625.2575
MEM 13.390625 1756915625.3617
MEM 13.343750 1756915625.4642
MEM 13.343750 1756915625.5685
MEM 13.343750 1756915625.6737
MEM 13.343750 1756915625.7790
MEM 13.343750 1756915625.8801
MEM 13.343750 1756915625.9854
MEM 13.343750 1756915626.0875
MEM 13.343750 1756915626.1927
MEM 13.343750 1756915626.2978
MEM 13.343750 1756915626.4030
MEM 13.343750 1756915626.5081
MEM 13.343750 1756915626.6133
MEM 13.343750 1756915626.7184
MEM 13.343750 1756915626.8235
MEM 13.328125 1756915626.9287
MEM 13.328125 1756915627.0340
MEM 13.328125 1756915627.1393
MEM 13.359375 1756915627.2409
MEM 13.390625 1756915627.3452
MEM 13.390625 1756915627.4504
MEM 13.390625 1756915627.5556
MEM 13.390625 1756915627.6589
MEM 13.390625 1756915627.7609
MEM 13.390625 1756915627.8644
MEM 13.390625 1756915627.9697
MEM 13.390625 1756915628.0749
MEM 13.390625 1756915628.1802
MEM 13.421875 1756915628.2854
MEM 13.421875 1756915628.3893
MEM 13.421875 1756915628.4931
MEM 13.421875 1756915628.5976
MEM 13.421875 1756915628.6990
MEM 13.421875 1756915628.8043
MEM 13.421875 1756915628.9062
MEM 13.421875 1756915629.0108
MEM 13.421875 1756915629.1160
MEM 13.421875 1756915629.2194
MEM 13.421875 1756915629.3247
MEM 12.953125 1756915629.4286
MEM 12.343750 1756915629.5340
MEM 12.343750 1756915629.6393
MEM 12.343750 1756915629.7402
MEM 12.343750 1756915629.8439
MEM 12.343750 1756915629.9529
MEM 12.359375 1756915630.0559
MEM 12.359375 1756915630.1611
MEM 13.375000 1756915630.2641
MEM 13.375000 1756915630.3692
MEM 13.375000 1756915630.4743
MEM 13.375000 1756915630.5795
MEM 13.375000 1756915630.6808
